"Gross domestic product, expenditure-based, Canada, quarterly (x 1,000,000)"
"Frequency: Quarterly"
"Table: 36-10-0104-01 (formerly CANSIM 380-0064)"
"Release date: 2025-11-28"
"Geography: Canada"
""
""

"Prices","Chained (2017) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1961","Q2 1961","Q3 1961","Q4 1961","Q1 1962","Q2 1962","Q3 1962","Q4 1962","Q1 1963","Q2 1963","Q3 1963","Q4 1963","Q1 1964","Q2 1964","Q3 1964","Q4 1964","Q1 1965","Q2 1965","Q3 1965","Q4 1965","Q1 1966","Q2 1966","Q3 1966","Q4 1966","Q1 1967","Q2 1967","Q3 1967","Q4 1967","Q1 1968","Q2 1968","Q3 1968","Q4 1968","Q1 1969","Q2 1969","Q3 1969","Q4 1969","Q1 1970","Q2 1970","Q3 1970","Q4 1970","Q1 1971","Q2 1971","Q3 1971","Q4 1971","Q1 1972","Q2 1972","Q3 1972","Q4 1972","Q1 1973","Q2 1973","Q3 1973","Q4 1973","Q1 1974","Q2 1974","Q3 1974","Q4 1974","Q1 1975","Q2 1975","Q3 1975","Q4 1975","Q1 1976","Q2 1976","Q3 1976","Q4 1976","Q1 1977","Q2 1977","Q3 1977","Q4 1977","Q1 1978","Q2 1978","Q3 1978","Q4 1978","Q1 1979","Q2 1979","Q3 1979","Q4 1979","Q1 1980","Q2 1980","Q3 1980","Q4 1980","Q1 1981","Q2 1981","Q3 1981","Q4 1981","Q1 1982","Q2 1982","Q3 1982","Q4 1982","Q1 1983","Q2 1983","Q3 1983","Q4 1983","Q1 1984","Q2 1984","Q3 1984","Q4 1984","Q1 1985","Q2 1985","Q3 1985","Q4 1985","Q1 1986","Q2 1986","Q3 1986","Q4 1986","Q1 1987","Q2 1987","Q3 1987","Q4 1987","Q1 1988","Q2 1988","Q3 1988","Q4 1988","Q1 1989","Q2 1989","Q3 1989","Q4 1989","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025"
"Gross fixed capital formation","65,003","66,671","68,920","69,002","70,032","69,670","71,924","71,337","70,786","72,306","73,560","76,819","80,229","81,254","82,545","87,903","87,995","89,183","93,874","96,913","100,003","103,047","102,134","103,399","103,633","103,225","101,783","100,335","102,410","102,486","102,548","105,031","106,106","107,860","108,757","109,548","109,716","105,856","108,691","110,455","111,231","115,784","118,532","120,730","121,031","122,555","121,597","120,348","126,823","129,617","132,116","136,807","142,125","137,337","137,433","136,735","138,009","141,817","147,437","149,880","151,434","156,543","152,617","153,524","155,804","156,982","158,726","157,559","156,967","160,699","160,562","162,627","164,533","166,124","174,833","175,730","177,922","173,517","180,787","185,881","194,809","200,033","195,251","193,231","187,135","174,430","166,704","170,642","169,684","173,169","174,974","176,116","176,642","176,342","177,963","178,038","182,384","191,000","197,035","198,760","200,794","200,286","198,973","199,586","204,679","213,922","225,029","228,574","233,016","235,459","243,317","240,014","250,198","248,191","247,061","255,415","251,583","245,503","238,767","230,205","232,129","229,477","230,225","233,427","231,808","222,221","226,708","217,324","214,916","220,024","224,794","227,897","230,849","238,097","238,245","239,923","233,962","233,410","232,846","233,966","239,120","239,181","248,949","260,828","265,675","272,867","281,110","283,836","283,245","283,876","284,439","287,616","290,806","298,230","300,631","307,982","310,747","312,869","316,629","318,056","326,713","331,048","335,110","326,066","326,889","331,299","336,481","337,392","340,437","343,831","354,634","362,701","371,184","377,042","382,524","389,065","399,625","409,261","420,321","429,284","437,186","441,066","440,979","443,424","449,825","453,157","455,030","460,475","471,011","468,083","464,054","444,913","400,087","398,186","410,666","430,021","445,192","454,670","459,829","467,934","472,905","476,987","478,900","483,591","497,002","502,206","501,494","505,123","507,906","508,021","508,568","510,392","511,565","516,002","523,084","530,022","507,681","493,691","487,400","483,499","473,959","470,522","471,885","464,132","477,459","481,152","484,748","500,029","502,230","502,914","495,344","488,830","497,737","496,572","507,190","503,267","495,226","430,683","495,131","508,243","525,670","533,752","515,892","523,969","539,558","527,452","518,740","513,631","515,514","525,774","522,435","514,592","516,381","523,157","520,083","532,831","525,905","527,092","530,051"
"Business gross fixed capital formation","50,011","50,180","51,835","51,478","51,237","51,400","53,668","53,091","52,447","53,944","55,359","58,204","62,055","62,775","63,668","68,117","67,304","68,755","72,366","74,955","77,458","79,848","78,816","79,522","80,104","79,057","77,785","76,161","77,995","78,342","78,413","80,554","82,587","83,894","84,717","85,641","86,530","82,939","85,181","86,076","85,882","89,258","91,373","93,743","94,631","95,985","95,515","95,076","102,135","104,796","106,987","111,967","117,304","112,401","111,140","110,424","111,915","115,168","121,273","123,525","124,970","130,098","126,967","127,800","129,725","130,048","131,417","129,874","129,976","133,531","133,940","135,666","137,883","139,838","148,456","149,446","150,642","145,753","152,511","157,394","166,419","171,005","165,762","163,220","157,245","144,432","136,632","139,616","139,185","142,768","144,235","145,314","145,235","144,691","145,487","145,085","148,537","155,653","160,753","162,875","165,249","165,274","164,672","165,572","170,021","178,995","189,636","193,153","196,681","198,408","205,706","202,565","211,697","209,466","207,405","214,099","209,896","203,883","196,423","187,980","189,096","185,572","186,387","188,664","187,834","178,541","183,356","175,124","171,363","176,098","180,807","184,272","186,604","193,586","192,475","193,316","188,948","188,629","187,644","188,317","193,916","194,939","204,646","217,294","223,476","230,996","238,826","241,628","240,959","241,782","242,639","245,318","245,935","251,237","252,932","259,330","262,167","264,700","267,675","268,403","274,243","277,837","280,449","268,952","270,360","274,632","279,648","280,945","283,283","285,470","295,801","303,306","310,769","316,274","321,114","326,040","333,307","340,880","350,473","357,985","365,703","369,126","368,874","370,194","375,466","377,593","378,410","383,534","390,538","387,750","383,902","363,602","319,533","314,887","321,154","334,170","348,687","357,141","362,338","371,012","378,262","385,379","390,832","398,389","409,763","413,957","413,779","418,203","421,856","425,564","426,391","429,673","431,198","436,240","442,824","449,476","425,239","413,212","406,784","402,435","392,215","390,639","392,680","383,863","395,970","397,971","398,189","409,683","411,601","414,708","407,706","405,001","414,108","412,963","421,284","417,532","409,154","345,757","407,154","420,120","436,945","446,250","428,444","435,768","450,092","438,603","432,265","426,204","424,159","433,318","428,876","420,062","419,511","425,004","421,391","432,232","426,699","426,355","426,531"
"Residential structures","29,456","30,287","31,388","30,287","30,160","30,603","32,426","31,506","30,467","31,722","31,830","35,206","36,983","35,719","36,586","39,862","39,158","38,518","39,131","38,427","38,698","39,654","35,359","34,655","35,963","36,686","39,266","39,429","39,962","43,373","42,624","46,152","47,615","50,006","49,131","48,328","46,911","41,559","43,274","46,938","47,019","50,774","52,858","54,167","55,106","56,170","56,378","55,719","59,175","60,330","59,391","61,350","66,666","61,476","57,984","54,591","52,994","54,736","61,541","64,745","67,056","72,507","73,580","70,990","71,621","72,118","72,569","71,757","72,452","73,453","72,506","72,442","72,226","71,098","72,794","72,461","70,746","63,770","67,777","71,197","74,708","77,815","71,471","64,972","63,619","56,445","55,884","61,223","64,828","72,004","72,294","69,231","69,464","69,402","70,832","71,325","71,218","72,826","78,445","83,392","82,491","85,367","87,279","89,129","94,305","97,932","102,162","101,004","99,983","101,367","100,390","102,155","107,024","102,995","103,607","106,924","103,932","97,480","90,983","83,798","77,953","79,119","81,018","83,202","85,655","84,805","87,507","86,755","82,926","82,929","83,218","83,648","87,308","89,021","87,023","83,020","77,209","72,864","72,042","72,339","74,634","78,631","83,358","86,184","85,962","87,016","87,492","87,821","85,460","84,222","83,408","82,638","84,112","87,176","88,293","89,590","88,278","88,891","92,817","94,559","97,328","99,548","102,121","106,741","112,798","115,046","117,165","119,727","118,616","116,792","122,003","124,153","128,129","131,130","132,195","134,321","133,394","136,702","136,772","137,055","142,084","140,511","136,800","137,004","143,219","144,051","143,593","144,187","142,534","139,214","136,079","128,165","119,902","124,167","129,183","137,150","141,055","139,363","136,792","135,840","138,570","138,339","141,879","143,301","149,605","148,850","147,612","147,511","146,303","148,581","147,589","147,335","145,531","148,933","152,312","152,738","153,837","154,050","156,982","157,696","160,261","161,603","161,829","163,328","166,498","164,707","163,067","167,896","165,912","165,155","163,175","159,788","156,982","161,626","164,835","165,405","158,359","137,246","182,764","189,068","200,408","197,365","180,862","182,373","190,930","173,998","165,610","161,545","154,951","155,947","158,587","156,879","154,752","153,045","155,874","161,371","156,483","158,178","160,772"
"Non-residential structures, machinery and equipment","22,646","22,447","23,194","23,362","23,279","23,213","24,081","24,026","23,985","24,518","25,436","26,133","28,088","29,031","29,257","31,071","30,759","31,912","34,125","36,157","37,786","39,038","39,879","40,609","40,543","39,459","37,485","36,208","37,275","36,169","36,488","36,608","37,511","37,431","38,226","39,089","40,210","39,698","40,583","39,858","39,844","40,805","41,491","42,638","42,888","43,363","42,856","42,805","46,502","47,939","49,988","52,811","54,346","53,111","53,797","54,814","56,646","58,203","59,567","59,752","59,273","60,514","57,495","59,211","60,346","60,194","60,862","59,962","59,799","61,870","62,451","63,631","65,365","67,099","72,432","73,042","74,511","73,709","76,601","78,487","83,628","85,411","84,300","85,296","81,531","75,435","70,254","70,084","68,195","67,554","68,297","70,126","69,682","69,098","68,898","68,489","70,824","75,029","76,086","75,429","77,278","76,124","74,898","74,419","75,231","80,056","85,783","89,101","92,201","92,379","98,478","94,885","99,561","100,265","98,347","101,559","99,549","98,182","95,230","92,562","96,341","93,581","93,327","93,867","91,755","84,511","86,393","79,695","77,985","80,916","84,100","85,554","84,556","88,277","88,104","91,094","91,066","93,863","93,205","93,139","95,187","93,980","98,763","107,136","112,283","117,602","123,271","124,663","124,399","125,046","125,675","127,724","128,701","131,384","131,618","135,447","137,656","137,350","136,210","134,348","135,618","137,074","139,049","127,983","125,782","128,152","130,631","129,325","131,202","134,317","139,364","144,100","146,694","148,599","151,177","153,600","159,695","162,836","170,088","176,331","180,357","185,155","187,860","188,770","188,503","189,485","190,138","193,535","200,563","200,971","200,857","190,929","161,594","154,707","156,124","160,577","169,288","177,449","183,996","193,222","198,618","203,519","204,245","210,225","215,203","222,003","222,523","227,330","231,399","233,839","235,307","238,689","241,194","243,523","246,989","251,832","230,563","221,056","212,842","207,542","194,856","191,749","194,213","184,331","190,328","193,174","194,182","202,212","201,403","204,499","200,143","199,388","209,645","204,898","209,982","206,420","203,585","164,583","177,497","182,804","183,901","195,669","195,682","202,330","204,319","210,383","212,950","210,148","214,908","224,205","216,156","208,912","210,039","217,439","209,643","214,755","214,238","212,166","209,729"
"Non-residential structures","25,279","25,657","26,492","26,785","25,487","25,108","25,693","25,594","25,551","26,229","26,379","27,384","29,161","29,931","30,738","32,051","31,816","32,344","33,400","34,798","37,088","38,136","38,457","38,557","37,287","36,160","35,403","35,239","35,731","35,695","35,624","35,325","35,046","34,753","35,623","36,565","38,535","38,179","39,170","39,506","39,841","40,448","41,083","41,283","40,763","40,884","40,221","39,992","41,983","42,732","44,223","45,934","47,119","45,586","46,150","47,434","49,432","51,908","53,456","56,167","53,634","53,142","49,210","49,018","51,480","54,797","55,090","55,732","54,933","55,946","55,133","55,190","57,081","60,527","65,230","65,387","68,490","67,321","68,355","69,739","73,406","73,677","73,746","75,340","73,652","68,725","62,538","63,518","61,913","60,710","60,120","61,515","60,520","59,836","60,295","57,903","59,705","64,387","63,944","62,035","65,362","59,654","56,320","55,728","55,939","60,928","63,525","65,336","64,373","66,670","69,159","70,475","72,064","69,772","71,026","72,620","72,009","72,363","71,524","69,133","69,966","69,273","67,936","67,765","62,644","57,461","57,993","53,729","54,404","57,174","57,771","59,589","58,561","59,886","61,140","62,669","63,546","61,250","61,009","59,462","59,498","60,850","62,600","65,991","70,903","73,447","76,427","75,326","73,776","72,750","71,476","71,501","73,696","75,020","76,606","78,150","77,543","75,416","73,349","74,015","77,176","78,558","79,414","78,028","75,539","74,607","74,480","74,003","76,208","78,041","79,817","82,066","82,915","84,575","85,783","85,914","88,783","90,646","92,999","95,409","97,858","100,921","103,992","105,423","104,286","104,060","104,458","104,801","111,752","113,406","114,014","111,210","95,783","89,420","88,535","89,396","97,965","102,815","109,196","116,011","120,430","119,519","124,582","129,269","132,738","138,779","139,433","144,039","147,521","149,840","152,898","154,166","157,975","159,168","161,099","164,091","147,893","140,939","134,402","129,278","123,738","118,996","126,647","117,920","117,870","119,282","121,104","122,925","121,801","122,049","121,128","119,964","122,070","122,505","126,228","128,008","127,310","107,704","105,937","105,024","110,298","114,315","116,220","119,306","121,398","124,545","126,689","130,168","132,316","136,845","133,011","127,379","128,080","131,005","130,318","131,308","130,205","132,301","131,954"
"Machinery and equipment","5,595","5,396","5,580","5,598","5,883","5,944","6,258","6,256","6,240","6,354","6,800","6,914","7,504","7,807","7,721","8,348","8,242","8,726","9,633","10,360","10,632","11,035","11,409","11,779","12,091","11,810","10,923","10,262","10,716","10,109","10,308","10,457","11,039","11,074","11,279","11,491","11,563","11,377","11,593","11,090","10,986","11,351","11,556","12,143","12,431","12,665","12,568","12,609","14,139","14,744","15,478","16,604","17,134","16,901","17,128","17,312","17,753","17,875","18,189","17,413","17,957","18,860","18,343","19,434","19,314","18,152","18,455","17,715","17,873","18,775","19,375","20,053","20,479","20,420","22,078","22,386","22,260","22,164","23,567","24,248","26,141","27,145","26,433","26,489","24,740","22,687","21,643","21,196","20,589","20,605","21,257","21,899","21,968","21,845","21,561","22,154","22,970","23,928","24,750","25,024","24,994","26,297","26,724","26,637","27,074","28,285","30,980","32,430","34,846","34,033","37,070","34,131","36,596","38,042","36,214","37,707","36,605","35,521","33,873","33,093","35,334","33,732","34,154","34,606","35,456","32,762","33,820","31,097","29,639","30,438","32,355","32,558","32,323","34,286","33,627","35,003","34,609","37,492","37,147","37,779","39,167","37,739","40,263","44,549","45,894","48,442","51,035","52,511","53,038","53,960","54,984","56,407","56,066","57,336","56,731","58,717","60,617","61,473","61,699","60,000","59,322","59,680","60,681","53,312","52,975","55,166","57,043","56,334","56,553","57,883","60,713","63,045","64,555","65,039","66,328","68,196","71,261","72,584","76,976","80,520","82,158","83,997","83,994","83,682","84,331","85,384","85,645","88,518","88,896","87,783","87,122","80,375","66,679","65,692","67,728","71,128","71,564","74,894","75,191","77,662","78,657","84,520","80,089","81,371","82,877","83,603","83,461","83,583","84,117","84,193","82,483","84,654","83,223","84,376","85,930","87,788","82,744","80,192","78,501","78,273","71,210","72,772","67,579","66,431","72,447","73,875","73,065","79,330","79,657","82,534","79,080","79,490","87,636","82,454","83,815","78,437","76,290","56,943","71,474","77,686","73,368","81,351","79,259","82,910","82,695","85,659","86,016","79,333","81,984","86,804","82,545","81,017","81,439","85,974","78,660","82,872","83,486","79,173","77,017"
"Intellectual property products","1,624","1,648","1,638","1,619","1,565","1,589","1,638","1,634","1,595","1,648","1,672","1,745","1,819","1,838","1,955","2,042","2,058","2,165","2,262","2,301","2,317","2,395","2,488","2,542","2,488","2,591","2,664","2,747","2,776","2,772","2,806","2,792","2,733","2,792","2,973","3,119","3,202","3,315","3,349","3,226","3,017","2,943","2,919","2,935","2,935","3,008","3,115","3,129","3,070","3,080","3,119","3,119","3,036","3,095","3,178","3,271","3,310","3,409","3,477","3,483","4,075","4,124","4,295","4,467","4,491","4,682","4,873","5,015","4,917","5,073","5,254","5,420","5,434","5,723","6,080","6,408","6,618","6,946","7,337","7,572","7,562","7,811","8,000","8,124","8,051","7,796","7,401","7,436","7,392","7,477","7,742","8,195","8,530","8,775","8,938","8,796","9,158","9,625","9,819","9,749","10,186","9,933","9,718","10,000","9,969","10,336","10,830","10,962","11,282","11,781","12,200","12,247","12,152","11,961","11,821","12,176","12,572","12,850","13,614","13,522","14,147","13,164","12,899","12,904","12,795","12,867","13,374","13,764","14,893","16,091","16,739","18,127","18,925","20,122","20,716","20,903","20,890","20,380","20,817","21,361","22,805","22,325","22,683","23,010","23,086","23,350","23,919","24,777","26,180","27,136","27,827","28,573","26,901","26,662","27,225","28,021","29,171","31,531","32,856","34,475","36,650","36,807","35,154","33,283","32,653","32,382","32,803","33,580","34,572","34,647","34,940","35,297","36,441","37,235","38,250","38,646","39,922","41,116","42,627","43,053","41,953","41,613","41,821","41,976","41,807","42,115","42,676","43,689","45,003","44,980","44,250","41,856","36,798","35,685","35,805","36,647","38,387","39,960","40,795","40,846","39,952","42,218","43,487","43,515","43,703","41,680","42,157","41,751","42,417","41,412","41,695","41,752","42,447","41,815","41,571","42,831","39,440","37,031","36,224","36,605","36,869","37,142","36,464","36,233","39,153","40,081","40,926","39,588","44,320","45,104","44,438","45,917","47,516","46,531","46,547","45,773","47,373","44,160","46,387","47,690","51,697","53,258","53,371","52,755","56,162","58,339","59,094","60,319","61,140","60,397","60,581","60,365","61,209","61,740","62,413","62,495","62,797","62,530","62,153"
"Non-profit institutions serving households' gross fixed capital formation","331","306","333","356","358","359","335","334","352","327","377","400","369","417","442","438","404","451","471","462","429","489","483","502","494","511","470","470","469","492","513","548","497","510","550","560","576","550","547","557","564","562","554","573","567","601","582","574","564","620","638","619","636","654","633","632","599","667","697","735","721","765","769","711","742","796","790","783","764","833","811","797","804","875","915","904","894","928","950","970","997","1,065","1,127","1,219","1,203","1,118","1,028","1,025","1,095","1,153","1,149","1,151","1,140","1,196","1,227","1,241","1,189","1,188","1,233","1,232","1,226","1,200","1,173","1,166","1,124","1,163","1,182","1,203","1,175","1,170","1,183","1,201","1,187","1,169","1,150","1,212","1,226","1,234","1,211","1,155","1,198","1,202","1,300","1,398","1,349","1,319","1,309","1,315","1,358","1,392","1,429","1,481","1,424","1,452","1,470","1,480","1,556","1,545","1,558","1,571","1,606","1,669","1,658","1,609","1,817","1,710","1,653","1,504","1,307","1,156","1,070","1,074","1,189","1,353","1,427","1,459","1,459","1,480","1,515","1,534","1,592","1,633","1,717","1,791","2,068","2,000","1,959","1,943","1,935","1,902","1,758","1,498","1,099","946","1,044","1,422","2,095","2,581","2,910","3,084","3,141","2,999","2,754","2,454","1,762","1,839","2,054","2,363","2,885","3,130","3,327","3,283","2,504","2,501","2,458","2,674","2,630","2,677","2,696","2,855","2,664","2,731","2,738","2,765","2,857","3,013","3,107","3,123","3,191","3,135","3,165","3,215","3,416","3,464","3,376","3,248","3,077","3,072","3,099","3,039","2,418","2,245","2,172","2,199","2,228","2,328","2,348","2,376","2,405","2,357","2,296","2,212","2,047","2,070","2,081","2,105","2,173","2,119","2,292","2,375","2,416","2,478","2,395","2,448","2,619","2,759","2,715","2,624","2,866","3,025","3,177","3,351","3,487","3,563","3,664","3,694","3,485","3,660","3,750"
"General governments gross fixed capital formation","14,738","16,249","16,813","17,229","18,509","17,987","18,008","17,997","18,059","18,130","17,915","18,320","17,946","18,192","18,560","19,477","20,440","20,138","21,193","21,664","22,310","22,899","23,012","23,554","23,221","23,826","23,698","23,857","24,108","23,821","23,786","24,103","23,212","23,647","23,684","23,540","22,808","22,557","23,150","24,016","24,979","26,173","26,814","26,624","26,035","26,173","25,697","24,893","24,318","24,385","24,678","24,412","24,385","24,457","25,815","25,825","25,661","26,148","25,661","25,815","25,954","25,897","25,093","25,236","25,564","26,347","26,726","27,095","26,434","26,552","26,035","26,393","26,086","25,650","25,722","25,645","26,649","27,064","27,576","27,791","27,719","28,301","28,652","29,050","28,911","29,006","29,114","30,064","29,474","29,344","29,689","29,758","30,347","30,518","31,283","31,718","32,656","34,162","35,062","34,702","34,406","33,919","33,249","32,978","33,673","33,918","34,381","34,390","35,339","36,064","36,618","36,434","37,510","37,760","38,723","40,328","40,682","40,594","41,321","41,240","42,005","42,890","42,709","43,533","42,791","42,533","42,210","41,044","42,385","42,703","42,691","42,232","42,921","43,111","44,405","45,255","43,552","43,326","43,748","44,190","43,663","42,597","42,596","41,769","40,135","39,873","40,328","40,404","40,709","40,674","40,459","40,951","43,477","45,455","46,090","47,003","46,924","46,482","47,229","47,912","50,688","51,384","52,759","55,228","54,318","54,507","54,697","54,319","55,041","56,293","56,901","57,725","59,158","59,661","60,190","61,408","64,010","65,562","66,669","67,934","68,044","68,646","69,068","70,522","72,408","73,538","74,382","74,388","77,397","77,004","76,617","77,766","77,837","80,593","86,854","92,977","93,657","94,626","94,562","93,827","91,761","88,692","85,183","82,332","84,278","85,129","84,507","83,713","82,796","79,331","79,029","77,563","77,025","76,399","76,993","77,413","79,438","77,473","77,559","78,048","79,321","77,640","77,039","78,068","79,267","80,851","84,206","87,972","88,225","85,853","85,343","81,633","81,609","81,565","83,849","83,656","83,930","82,947","85,609","85,591","86,049","84,646","84,841","85,495","86,476","85,820","83,436","84,602","88,537","89,424","90,504","91,483","93,839","95,054","95,578","97,431","96,230","97,687","100,550"
"Investment in inventories","793","1,256","-1,931","2,013","2,744","1,213","4,290","2,927","3,083","2,344","3,185","3,713","4,563","2,362","2,414","172","8,157","6,021","3,133","3,961","5,211","8,215","4,018","3,904","923","171","1,997","-236","163","2,450","3,473","4,258","4,811","5,211","5,965","6,689","2,438","2,798","3,645","-4,018","-2,715","74","3,169","4,132","119","2,452","4,031","3,116","3,384","2,586","7,414","7,868","5,620","11,823","10,446","14,346","8,995","2,412","909","2,001","8,454","6,091","7,691","3,074","5,926","5,767","2,118","2,609","-1,052","-1,201","1,495","4,836","5,805","15,781","6,829","12,129","3,472","9,506","-9,589","-4,486","3,404","11,452","2,293","-7,991","-10,955","-19,434","-23,033","-22,476","-9,436","-12,547","-3,399","193","6,361","12,174","6,919","3,973","8,248","6,086","10,714","7,921","11,642","9,392","2,033","-1,380","1,507","-733","1,825","13,117","13,536","6,553","6,999","5,026","1,557","12,462","14,991","1,492","-34","1,114","-8,419","-7,196","-3,682","-16,702","-10,624","-11,505","-11,775","-8,782","-9,529","-14,787","-6,973","-4,258","2,522","1,091","3,066","2,718","1,467","3,096","10,067","16,914","13,111","6,851","2,236","-6,982","2,043","9,423","4,944","10,625","13,592","14,488","17,358","8,374","-3,425","5,494","1,847","5,752","3,907","17,092","17,497","16,387","17,026","11,458","-2,743","-1,148","-7,576","-17,563","-19,499","-32","-544","4,457","14,429","14,360","-3,150","1,842","-3,539","-5,998","15,178","24,093","21,887","11,952","14,519","10,931","18,445","19,174","13,731","44","3,856","570","18,357","23,227","11,118","8,236","16,800","8,777","5,474","-8,724","-4,779","-5,403","4,407","-5,411","4,900","-6,825","11,691","18,831","11,110","12,899","7,176","6,758","11,236","6,365","16,650","13,293","20,225","25,883","22,680","10,406","5,842","8,687","14,284","9,598","-9,116","-6,372","-4,863","6,058","7,136","-3,177","4,094","20,653","29,369","19,020","27,335","23,786","17,087","18,580","29,199","19,587","9,360","12,226","16,961","-24,556","-29,778","-3,438","2,220","7,187","1,472","29,843","24,931","51,214","55,297","28,605","14,168","10,994","10,278","8,208","9,294","15,824","12,432","-11,408","5,278","27,643","23,692"
